Date,item,open,high,low,close,adj_close,volume
2015-06-26,DB하이텍,"16,300","16,300","15,850","15,950","14,328","189,171"
2015-06-29,DB하이텍,"15,650","16,050","15,200","15,700","14,103","379,170"
2015-06-30,DB하이텍,"15,500","15,900","15,150","15,800","14,193","377,953"
2015-07-01,DB하이텍,"15,650","16,000","15,650","15,850","14,238","194,561"
2015-07-02,DB하이텍,"15,600","16,200","15,600","15,900","14,283","613,962"
2015-07-03,DB하이텍,"15,900","16,100","15,700","15,900","14,283","326,150"
2015-07-06,DB하이텍,"15,600","15,800","14,800","15,150","13,609","396,420"
2015-07-07,DB하이텍,"15,300","16,500","14,850","16,200","14,552","1,067,715"
2015-07-08,DB하이텍,"16,250","17,050","16,250","16,850","15,136","809,136"
2015-07-09,DB하이텍,"16,700","17,700","16,500","17,550","15,765","666,656"
2015-07-10,DB하이텍,"17,600","18,000","17,300","17,550","15,765","405,005"
2015-07-13,DB하이텍,"17,450","18,050","17,400","17,850","16,035","339,677"
2015-07-14,DB하이텍,"17,900","18,100","17,800","17,950","16,124","236,333"
2015-07-15,DB하이텍,"18,100","18,400","17,600","17,850","16,035","319,879"
2015-07-16,DB하이텍,"17,800","17,950","16,900","17,850","16,035","357,986"
2015-07-17,DB하이텍,"17,800","17,900","17,550","17,850","16,035","327,242"
2015-07-20,DB하이텍,"17,850","18,250","17,350","17,600","15,810","500,143"
2015-07-21,DB하이텍,"17,650","17,700","17,000","17,300","15,540","384,794"
2015-07-22,DB하이텍,"17,150","17,250","16,750","17,000","15,271","348,625"
2015-07-23,DB하이텍,"17,000","17,250","16,750","17,000","15,271","251,203"
2015-07-24,DB하이텍,"16,850","17,650","16,800","17,500","15,720","295,002"
2015-07-27,DB하이텍,"17,500","17,650","16,300","16,550","14,867","451,288"
2015-07-28,DB하이텍,"16,100","16,800","14,950","16,650","14,957","765,025"
2015-07-29,DB하이텍,"16,700","17,150","16,600","16,800","15,091","488,001"
2015-07-30,DB하이텍,"17,150","17,200","15,350","15,350","13,789","446,775"
2015-07-31,DB하이텍,"15,400","18,000","15,400","17,200","15,451","916,130"
2015-08-03,DB하이텍,"17,350","17,800","17,000","17,650","15,855","431,160"
2015-08-04,DB하이텍,"17,600","18,350","17,500","18,200","16,349","499,401"
2015-08-05,DB하이텍,"18,400","18,900","18,100","18,550","16,663","493,996"
