Date,item,open,high,low,close,adj_close,volume
2012-02-27,sk하이닉스,"28,800","28,850","27,800","27,950","24,458","4,724,612"
2012-02-28,sk하이닉스,"29,800","30,150","29,500","29,850","26,120","20,680,692"
2012-02-29,sk하이닉스,"30,350","30,750","30,100","30,200","26,427","9,303,388"
2012-03-02,sk하이닉스,"30,350","30,450","29,700","30,450","26,645","7,944,326"
2012-03-05,sk하이닉스,"30,600","30,600","29,900","30,050","26,295","3,820,492"
2012-03-06,sk하이닉스,"29,900","30,000","29,250","29,400","25,727","5,949,376"
2012-03-07,sk하이닉스,"28,800","29,200","28,700","29,100","25,464","5,332,506"
2012-03-08,sk하이닉스,"29,400","29,950","29,200","29,750","26,033","4,728,126"
2012-03-09,sk하이닉스,"30,000","30,150","29,700","29,800","26,077","3,552,316"
2012-03-12,sk하이닉스,"30,000","30,050","29,400","29,600","25,902","2,561,796"
2012-03-13,sk하이닉스,"29,750","29,900","29,200","29,300","25,639","5,046,218"
2012-03-14,sk하이닉스,"29,900","30,200","29,600","29,600","25,902","4,886,740"
2012-03-15,sk하이닉스,"29,500","29,600","28,950","29,250","25,595","4,827,531"
2012-03-16,sk하이닉스,"29,350","29,450","28,750","28,800","25,202","3,651,147"
2012-03-19,sk하이닉스,"28,700","29,300","28,700","29,300","25,639","4,863,294"
2012-03-20,sk하이닉스,"29,350","29,600","29,050","29,150","25,508","3,847,798"
2012-03-21,sk하이닉스,"28,950","29,300","28,850","28,900","25,289","2,615,045"
2012-03-22,sk하이닉스,"29,050","29,600","29,050","29,350","25,683","4,086,939"
2012-03-23,sk하이닉스,"29,100","30,250","29,050","30,150","26,383","6,253,838"
2012-03-26,sk하이닉스,"30,250","30,650","30,050","30,300","26,514","6,640,671"
2012-03-27,sk하이닉스,"30,450","30,700","30,050","30,450","26,645","5,695,439"
2012-03-28,sk하이닉스,"30,200","30,950","30,150","30,550","26,733","4,899,025"
2012-03-29,sk하이닉스,"30,350","30,900","30,350","30,500","26,689","5,095,995"
2012-03-30,sk하이닉스,"30,400","30,450","29,100","29,250","25,595","9,742,098"
2012-04-02,sk하이닉스,"29,150","29,550","29,100","29,350","25,683","4,707,285"
2012-04-03,sk하이닉스,"29,550","30,400","29,350","30,300","26,514","6,677,521"
2012-04-04,sk하이닉스,"30,250","30,350","29,350","29,400","25,727","4,389,836"
2012-04-05,sk하이닉스,"28,750","30,050","28,300","29,850","26,120","8,870,219"
2012-04-06,sk하이닉스,"29,700","29,900","29,250","29,250","25,595","3,166,867"
2012-04-09,sk하이닉스,"28,800","29,350","27,900","28,050","24,545","5,542,207"
2012-04-10,sk하이닉스,"28,050","28,350","27,350","27,750","24,283","5,087,049"
2012-04-12,sk하이닉스,"27,800","27,850","26,850","27,200","23,801","5,528,608"
2012-04-13,sk하이닉스,"27,750","29,050","27,650","29,000","25,377","6,963,443"
2012-04-16,sk하이닉스,"28,700","29,450","28,550","29,250","25,595","4,138,393"
2012-04-17,sk하이닉스,"29,200","29,250","28,250","28,300","24,764","4,635,174"
2012-04-18,sk하이닉스,"28,850","28,950","28,050","28,050","24,545","5,454,946"
2012-04-19,sk하이닉스,"27,900","29,000","27,500","28,800","25,202","6,130,925"
2012-04-20,sk하이닉스,"28,200","28,350","27,600","27,650","24,195","5,588,111"
2012-04-23,sk하이닉스,"27,650","28,450","27,600","27,800","24,326","4,519,689"
2012-04-24,sk하이닉스,"27,500","27,850","27,050","27,250","23,845","4,724,819"
2012-04-25,sk하이닉스,"27,600","27,700","27,000","27,050","23,670","4,808,914"
2012-04-26,sk하이닉스,"27,500","27,700","27,000","27,200","23,801","4,830,146"
2012-04-27,sk하이닉스,"27,400","28,250","27,350","28,050","24,545","4,523,249"
2012-04-30,sk하이닉스,"28,050","28,450","27,800","28,050","24,545","3,750,311"
2012-05-02,sk하이닉스,"28,300","28,350","27,100","27,350","23,933","7,185,814"
2012-05-03,sk하이닉스,"27,300","27,850","27,150","27,250","23,845","4,005,242"
2012-05-04,sk하이닉스,"27,050","28,900","26,800","28,150","24,633","10,865,044"
2012-05-07,sk하이닉스,"27,750","27,950","27,150","27,250","23,845","5,450,650"
2012-05-08,sk하이닉스,"27,450","27,500","26,500","26,650","23,320","6,281,343"
2012-05-09,sk하이닉스,"26,450","26,850","26,050","26,200","22,926","6,821,795"
2012-05-10,sk하이닉스,"26,100","26,850","26,100","26,600","23,276","4,745,544"
2012-05-11,sk하이닉스,"26,450","26,550","25,300","25,400","22,226","6,753,053"
2012-05-14,sk하이닉스,"25,500","26,200","25,450","26,100","22,839","4,866,033"
2012-05-15,sk하이닉스,"25,800","25,950","24,750","25,300","22,139","7,085,957"
2012-05-16,sk하이닉스,"24,900","24,950","22,900","23,050","20,170","16,135,701"
2012-05-17,sk하이닉스,"23,300","24,650","23,050","24,500","21,439","12,036,432"
2012-05-18,sk하이닉스,"23,850","24,450","23,450","23,600","20,651","6,940,195"
2012-05-21,sk하이닉스,"24,200","24,300","23,200","23,400","20,476","6,174,710"
2012-05-22,sk하이닉스,"24,050","24,100","23,400","23,550","20,608","8,220,786"
2012-05-23,sk하이닉스,"23,400","23,400","22,300","22,400","19,601","9,174,649"
2012-05-24,sk하이닉스,"22,450","22,950","22,000","22,400","19,601","6,370,054"
2012-05-25,sk하이닉스,"22,650","22,800","21,800","22,000","19,251","7,717,807"
