Date,item,open,high,low,close,adj_close,volume
2015-06-26,삼성 전자,"25,040","25,800","25,040","25,560","20,520","10,347,500"
2015-06-29,삼성 전자,"25,380","25,700","25,120","25,620","20,584","11,519,950"
2015-06-30,삼성 전자,"25,520","25,700","25,320","25,360","20,375","9,870,350"
2015-07-01,삼성 전자,"25,360","26,040","25,180","25,900","20,809","8,324,900"
2015-07-02,삼성 전자,"25,720","26,080","25,700","25,980","20,873","8,223,000"
2015-07-03,삼성 전자,"25,740","25,880","25,340","25,360","20,375","7,130,200"
2015-07-06,삼성 전자,"25,060","25,200","24,460","24,600","19,764","10,099,950"
2015-07-07,삼성 전자,"24,400","25,180","24,400","24,800","19,925","12,478,250"
2015-07-08,삼성 전자,"24,800","25,020","24,640","24,780","19,909","11,780,950"
2015-07-09,삼성 전자,"24,600","25,300","24,520","25,300","20,327","14,030,500"
2015-07-10,삼성 전자,"25,140","25,320","24,960","25,180","20,230","9,573,400"
2015-07-13,삼성 전자,"25,000","25,440","24,900","25,320","20,343","7,672,050"
2015-07-14,삼성 전자,"25,300","25,400","24,420","24,500","19,684","19,989,700"
2015-07-15,삼성 전자,"24,500","24,760","24,480","24,700","19,845","8,370,650"
2015-07-16,삼성 전자,"24,460","25,740","24,460","25,640","20,600","11,173,450"
2015-07-17,삼성 전자,"26,000","26,220","25,560","26,100","20,970","14,861,650"
2015-07-20,삼성 전자,"25,820","26,080","25,460","25,500","20,487","6,446,400"
2015-07-21,삼성 전자,"25,500","25,540","24,940","25,260","20,295","9,702,750"
2015-07-22,삼성 전자,"24,880","25,200","24,700","25,060","20,134","13,416,150"
2015-07-23,삼성 전자,"24,880","25,060","24,680","24,680","19,829","10,448,250"
2015-07-24,삼성 전자,"24,540","24,760","24,480","24,580","19,748","9,829,200"
2015-07-27,삼성 전자,"24,580","24,940","24,560","24,600","19,764","12,152,000"
2015-07-28,삼성 전자,"24,480","25,020","24,380","24,600","19,764","13,381,350"
2015-07-29,삼성 전자,"25,000","25,500","24,620","25,260","20,295","13,734,450"
2015-07-30,삼성 전자,"25,160","25,200","24,300","24,300","19,523","15,419,600"
2015-07-31,삼성 전자,"24,400","24,440","23,500","23,700","19,041","19,579,450"
2015-08-03,삼성 전자,"23,680","23,680","23,320","23,500","18,881","9,844,550"
2015-08-04,삼성 전자,"23,500","23,740","23,400","23,640","18,993","12,844,350"
